Title,Nb rating,Prices,Nb visits,Rating,Annulation,Duration,Language,Adress
Excursion de 2 jours à Las Vegas et au barrage Hoover,-1,299.3,43 ,-1,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,2 jours,Français,Los Angeles
Bus touristique de Los Angeles,66,65,1 091 ,8.30 / 10,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,1 jour,Français,Los Angeles
-1,-1,42.7,1 167 ,-1,-1,-1,-1,Los Angeles
Go City : Los Angeles All-Inclusive Pass,18,65.5,998 ,8.60 / 10,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,1 jour - 7 jours,-1,Los Angeles
Billet pour le Musée de l'USS Iowa,2,94,770 ,-1,Gratuit ! Annulez sans frais jusqu'à 48 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,-1,-1,Los Angeles
Visite guidée à vélo dans Santa Monica et Venice Beach,-1,19,18 ,-1,Non remboursable. Cette activité n'admet pas d'annulation.,3h30,Français,Los Angeles
Go City Los Angeles Explorer Pass,-1,9,3 ,-1,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,-1,-1,Los Angeles
Excursion de 5 jours à Las Vegas et dans le désert de l'Arizona,-1,64,66 ,-1,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,5 jours,Français,Los Angeles
Randonnée au Parc Griffith,-1,78.8,1 voyageur,-1,Gratuit ! Annulez sans frais jusqu'à 24 jours avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,2 heures,Anglais,Los Angeles
Visite gastronomique dans Los Angeles,-1,907.4,14 ,-1,Non remboursable. Cette activité n'admet pas d'annulation.,3h - 3h15,Anglais,Los Angeles
Billet pour Disneyland California,-1,33.2,5 ,-1,Non remboursable. Cette activité n'admet pas d'annulation.,-1,-1,Los Angeles
Visite de Venice Beach,-1,83.6,10 ,-1,Gratuit ! Annulez sans frais jusqu'à 7 jours avant l'activité. Si vous annulez avec plus de 3 jours d’avance: nous vous rembourserons 50%. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,3 heures,Français,Los Angeles
Kayak avec des otaries à Marina del Rey,1,316.4,48 ,-1,Gratuit ! Annulez sans frais jusqu'à 3 jours avant l'activité. Si vous annulez avec plus de 24 heures d’avance: vous aurez à payer une pénalité de 20 US$ (19:30 €). Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,2 heures,Anglais,Los Angeles
Visite à travers le centre historique de Los Angeles,-1,52.2,111 ,-1,Non remboursable. Cette activité n'admet pas d'annulation.,-1,Français,Los Angeles
Excursion à Malibu en van Volkswagen + Surf,-1,65.5,9 ,-1,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,6 heures,Anglais,Los Angeles
Randonnée jusqu'au Hollywood Sign,-1,49,13 ,-1,Gratuit ! Annulez sans frais jusqu'à 7 jours avant l'activité. Si vous annulez avec plus de 3 jours d’avance: nous vous rembourserons 50%. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,3 heures,Français,Los Angeles
Paddle surf avec des otaries à Marina del Rey,-1,210.9,67 ,-1,Gratuit ! Annulez sans frais jusqu'à 3 jours avant l'activité. Si vous annulez avec plus de 24 heures d’avance: vous aurez à payer une pénalité de 20 US$ (19:30 €). Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,2 heures,Anglais,Los Angeles
Circuit de 8 jours sur la côte ouest,-1,52.2,7 ,-1,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,8 jours,Français,Los Angeles
Visite de Malibu en van Volkswagen + Dégustation de vin,1,65.5,1 voyageur,-1,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,4 heures,Anglais,Los Angeles
Excursion de 3 jours en Californie,2,1420,3 ,-1,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,3 jours,Français,Los Angeles
Visite à la découverte de Little Tokyo et de l'Art District,-1,170,3 728 ,-1,Non remboursable. Cette activité n'admet pas d'annulation.,3h30,Français,Los Angeles
Billet pour Madame Tussauds,1,503.5,10 ,-1,Non remboursable. Cette activité n'admet aucune annulation ou modification.,-1,-1,Los Angeles
Visite à la découverte des mystères et légendes de Los Angeles,-1,49,,-1,Non remboursable. Cette activité n'admet pas d'annulation.,2 heures,Anglais,Los Angeles
Balade à vélo électrique dans Los Angeles,-1,28.4,62 ,-1,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,3 heures,Anglais,Los Angeles
Dîner-croisière dans la Marina del Rey,-1,27.5,1 091 ,-1,Non remboursable. Cette activité n'admet pas d'annulation.,2 heures,-1,Los Angeles
Vol en avion au-dessus de Los Angeles,-1,75,43 ,-1,Gratuit ! Annulez sans frais jusqu'à 48 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,1 heure,Anglais,Los Angeles
Billets pour les Universal Studios Hollywood,154,173.9,1 167 ,9.50 / 10,Non remboursable. Cette activité n'admet aucune annulation ou modification.,-1,-1,Los Angeles
Visite guidée à travers Hollywood Boulevard,-1,284.1,998 ,-1,Non remboursable. Cette activité n'admet pas d'annulation.,2h30,Français,Los Angeles
Carte eSIM avec Internet aux États-Unis,14,108.3,770 ,6.70 / 10,Non remboursable. Cette activité n'admet aucune annulation ou modification.,10 jours - 30 jours,-1,Los Angeles
Cours de surf à Venice Beach,1,39,18 ,-1,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,2 heures,Anglais,Los Angeles
Excursion de 2 jours à Las Vegas et au barrage Hoover,-1,21.3,3 ,-1,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,2 jours,Français,Los Angeles
Bus touristique de Los Angeles,66,56,66 ,8.30 / 10,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,1 jour,Français,Los Angeles
-1,-1,65,1 voyageur,-1,-1,-1,-1,Los Angeles
Go City : Los Angeles All-Inclusive Pass,18,299.3,14 ,8.60 / 10,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,1 jour - 7 jours,-1,Los Angeles
Billet pour le Musée de l'USS Iowa,2,42.7,5 ,-1,Gratuit ! Annulez sans frais jusqu'à 48 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,-1,-1,Los Angeles
Visite guidée à vélo dans Santa Monica et Venice Beach,-1,65.5,10 ,-1,Non remboursable. Cette activité n'admet pas d'annulation.,3h30,Français,Los Angeles
Go City Los Angeles Explorer Pass,-1,9,48 ,-1,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,-1,-1,Los Angeles
Excursion de 5 jours à Las Vegas et dans le désert de l'Arizona,-1,94,111 ,-1,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,5 jours,Français,Los Angeles
Randonnée au Parc Griffith,-1,19,9 ,-1,Gratuit ! Annulez sans frais jusqu'à 24 jours avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,2 heures,Anglais,Los Angeles
Visite gastronomique dans Los Angeles,-1,64,13 ,-1,Non remboursable. Cette activité n'admet pas d'annulation.,3h - 3h15,Anglais,Los Angeles
Billet pour Disneyland California,-1,78.8,67 ,-1,Non remboursable. Cette activité n'admet pas d'annulation.,-1,-1,Los Angeles
Visite de Venice Beach,-1,907.4,7 ,-1,Gratuit ! Annulez sans frais jusqu'à 7 jours avant l'activité. Si vous annulez avec plus de 3 jours d’avance: nous vous rembourserons 50%. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,3 heures,Français,Los Angeles
Kayak avec des otaries à Marina del Rey,1,33.2,1 voyageur,-1,Gratuit ! Annulez sans frais jusqu'à 3 jours avant l'activité. Si vous annulez avec plus de 24 heures d’avance: vous aurez à payer une pénalité de 20 US$ (19:30 €). Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,2 heures,Anglais,Los Angeles
Visite à travers le centre historique de Los Angeles,-1,83.6,3 ,-1,Non remboursable. Cette activité n'admet pas d'annulation.,-1,Français,Los Angeles
Mariage avec Elvis à Las Vegas,258,205.2,2 668 ,9.10 / 10,Gratuit ! Annulez sans frais jusqu'à 7 jours avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,-1,Français,Las Vegas
Battlefield Shooting Experience,168,109.2,1 301 ,9.70 / 10,Gratuit ! Annulez sans frais jusqu'à 48 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,-1,Anglais,Las Vegas
V - The Ultimate Variety Show,1,65.9,61 ,-1,Non remboursable. Cette activité n'admet pas d'annulation.,1h15,-1,Las Vegas
Pass Go City Las Vegas Explorer,6,56,171 ,8.30 / 10,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,-1,-1,Las Vegas
Carte eSIM avec Internet aux États-Unis,14,21.3,,6.70 / 10,Non remboursable. Cette activité n'admet aucune annulation ou modification.,10 jours - 30 jours,-1,Las Vegas
Visite de nuit dans Las Vegas,879,34.5,13 666 ,9.30 / 10,Gratuit ! Annulez sans frais jusqu'à 3 jours avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,4 heures,Anglais,Las Vegas
Offre : Grand Canyon + Las Vegas,366,60.8,7 914 ,9.70 / 10,Gratuit ! Annulez sans frais jusqu'à 3 jours avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,12h - 14h,Anglais,Las Vegas
Excursion à Antelope Canyon,43,213.7,537 ,7.40 / 10,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,12 heures,Français,Las Vegas
Billet pour Madame Tussauds,-1,198.5,22 ,-1,Non remboursable. Cette activité n'admet aucune annulation ou modification.,-1,-1,Las Vegas
Circuit de 3 jours dans le désert de l'Arizona,-1,35.1,19 ,-1,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,3 jours,Français,Las Vegas
Excursion complète au Grand Canyon en avion de tourisme,219,560.6,2 500 ,8.70 / 10,Gratuit ! Annulez sans frais jusqu'à 48 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,-1,Anglais,Las Vegas
Go City : Las Vegas All-Inclusive Pass,17,317.3,306 ,9.40 / 10,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,2 jours - 5 jours,-1,Las Vegas
Excursion à la Vallée de la Mort,-1,113,2 ,-1,Gratuit ! Annulez sans frais jusqu'à 48 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,-1,Français,Las Vegas
Billets pour Michael Jackson ONE,11,246,294 ,-1,Non remboursable. Cette activité n'admet pas d'annulation.,1h30,-1,Las Vegas
Vol en avion de voltige,1,131.8,8 ,-1,Non remboursable. Cette activité n'admet pas d'annulation.,-1,Anglais,Las Vegas
Bus touristique de Las Vegas,20,345.8,426 ,5.50 / 10,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,1 jour,Anglais,Las Vegas
Excursion au Grand Canyon rive ouest,40,42.7,261 ,9.50 / 10,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,9h - 11h,Français,Las Vegas
Balade en avion de tourisme au-dessus du Grand Canyon,30,217.5,526 ,9.10 / 10,Gratuit ! Annulez sans frais jusqu'à 48 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,-1,Français et d'autres langues,Las Vegas
Billets pour O,5,198.5,161 ,8.40 / 10,Non remboursable. Cette activité n'admet pas d'annulation.,1h30,-1,Las Vegas
Mariage au Grand Canyon + Hélicoptère,-1,155.1,5 ,-1,Gratuit ! Annulez sans frais jusqu'à 3 jours avant l'activité. Si vous annulez dans un délai moindre: nous vous rembourserons à hauteur de 50%. Si vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,-1,Français,Las Vegas
Balade à vélo électrique au canyon Red Rock,-1,3724,285 ,-1,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,-1,Français,Las Vegas
Tir en hélicoptère,-1,108.3,10 ,-1,Gratuit ! Annulez sans frais jusqu'à 48 heures avant l'activité. Si vous annulez dans un délai moindre: nous vous rembourserons à hauteur de 100%. Si vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,4h - 6h,Anglais,Las Vegas
Circuit de 7 jours de Las Vegas à San Francisco,-1,617.6,10 ,-1,Gratuit ! Annulez sans frais jusqu'à 7 jours avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,7 jours,Français,Las Vegas
Visite de nuit en bus à toit ouvert,-1,1582,246 ,-1,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,3 heures,Anglais,Las Vegas
Excursion à la South Rim en avion de tourisme,21,47.5,22 ,9.20 / 10,Gratuit ! Annulez sans frais jusqu'à 48 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,-1,Anglais,Las Vegas
Excursion à Disneyland California,-1,550.1,338 ,-1,Gratuit ! Annulez sans frais jusqu'à 7 jours avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,-1,-1,Las Vegas
Mariage dans la Vallée du Feu,-1,426.6,90 ,-1,Gratuit ! Annulez sans frais jusqu'à 3 jours avant l'activité. Si vous annulez dans un délai moindre: nous vous rembourserons à hauteur de 50%. Si vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,-1,Français,Las Vegas
Excursion à South Rim,25,1202,140 ,7.30 / 10,Gratuit ! Annulez sans frais jusqu'à 3 jours avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,-1,Anglais,Las Vegas
Circuit de 4 jours à la vallée de la Mort et à Yosemite jusqu'à San Francisco,-1,136.8,3 ,-1,Gratuit ! Annulez sans frais jusqu'à 7 jours avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,4 jours,Français,Las Vegas
Excursion à Horseshoe Bend et à l'Antelope Canyon X,-1,755.3,15 ,-1,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,13 heures,Anglais,Las Vegas
Vol en hélicoptère à Las Vegas,32,179.5,25 ,9.40 / 10,Gratuit ! Annulez sans frais jusqu'à 3 jours avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,-1,Anglais,Las Vegas
Excursion au barrage Hoover,7,136.8,871 ,5.70 / 10,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,-1,Anglais,Las Vegas
Excursion libre à Boulder City,-1,61.7,292 ,-1,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,-1,-1,Las Vegas
Cours de pole dance à Las Vegas,-1,23.7,147 ,-1,Non remboursable. Cette activité n'admet pas d'annulation.,1h15,-1,Las Vegas
Billets pour KÀ,10,56.4,98 ,9.20 / 10,Non remboursable. Cette activité n'admet pas d'annulation.,1h30,-1,Las Vegas
Excursion de 3 jours au Grand Canyon et en Utah,-1,130.7,24 ,-1,Gratuit ! Annulez sans frais jusqu'à 14 jours avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,3 jours,Français,Las Vegas
Billet pour le Mob Museum,-1,660.3,6 ,-1,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,-1,-1,Las Vegas
Excursion au canyon de Zion,1,28.4,49 ,-1,Gratuit ! Annulez sans frais jusqu'à 24 jours avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,10 heures,Français,Las Vegas
Excursion au Grand Canyon en hélicoptère,59,198.5,153 ,9.20 / 10,Gratuit ! Annulez sans frais jusqu'à 3 jours avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,-1,Anglais,Las Vegas
Billets pour LOVE,16,502.6,7 ,9.40 / 10,Non remboursable. Cette activité n'admet pas d'annulation.,1h30,-1,Las Vegas
Combat aérien en avion acrobatique,-1,136.2,26 ,-1,Non remboursable. Cette activité n'admet pas d'annulation.,-1,Anglais,Las Vegas
Carte eSIM avec Internet aux États-Unis,14,21.3,,6.70 / 10,Non remboursable. Cette activité n'admet aucune annulation ou modification.,10 jours - 30 jours,-1,Chicago
Visite à la découverte de l'architecture de Chicago,109,46.5,1 860 ,9.40 / 10,Gratuit ! Annulez sans frais jusqu'à 48 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,2h30,Anglais,Chicago
Bus touristique de Chicago,18,41.9,429 ,9.10 / 10,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,1 jour - 2 jours,Anglais,Chicago
Chicago CityPASS,3,108.3,98 ,-1,Non remboursable. Cette activité n'admet aucune annulation ou modification.,9 jours,-1,Chicago
Visite privée dans Chicago,-1,76,3 ,-1,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,-1,Français,Chicago
Visite à la découverte des fantômes de Lincoln Park,-1,61.7,502 ,-1,Non remboursable. Cette activité n'admet pas d'annulation.,2 heures,Anglais,Chicago
Visite de nuit en bus à toit ouvert,-1,27.5,20 ,-1,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,1h30,Anglais,Chicago
Visite à la découverte des donuts à Chicago,-1,24.7,55 ,-1,Gratuit ! Annulez sans frais jusqu'à 48 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,2 heures,Anglais,Chicago
Dîner-croisière à Chicago,3,94,646 ,-1,Non remboursable. Cette activité n'admet aucune annulation ou modification.,2h30,-1,Chicago
Balade à vélo au Millenium Park et au Lac Michigan,-1,38,7 ,-1,Gratuit ! Annulez sans frais jusqu'à 3 jours avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,3h30,Français,Chicago
Visite gastronomique dans Chicago,-1,172.4,44 ,-1,Gratuit ! Annulez sans frais jusqu'à 48 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,2 heures,Anglais,Chicago
Visite panoramique à la découverte des fantômes de Chicago,-1,115.5,368 ,-1,Non remboursable. Cette activité n'admet pas d'annulation.,3 heures,Anglais,Chicago
Bus touristique de Miami,62,41.9,1 019 ,7.40 / 10,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,1 jour,Français,Miami
Balade en bateau à travers les Villas des Stars,365,28.5,6 866 ,8.50 / 10,Non remboursable. Cette activité n'admet pas d'annulation.,1h30,Anglais,Miami
Balade en bateau à moteur à Miami,41,38,688 ,8.50 / 10,Gratuit ! Annulez sans frais jusqu'à 8 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,45 minutes,Anglais,Miami
Carte eSIM avec Internet aux États-Unis,14,21.3,,6.70 / 10,Non remboursable. Cette activité n'admet aucune annulation ou modification.,10 jours - 30 jours,-1,Miami
Offre : Contrastes de Miami + Everglades + Balade en bateau,97,116.8,2 928 ,9.40 / 10,Gratuit ! Annulez sans frais jusqu'à 36 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,8 heures,Anglais et espagnol,Miami
Excursion aux Everglades,322,46.5,4 395 ,7.90 / 10,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,4 heures,Anglais et espagnol,Miami
Balade en aéroglisseur dans les Everglades,28,62.6,9 111 ,7.70 / 10,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,2h30,-1,Miami
Offre : Everglades + Balade en bateau,143,25.3,636 ,8.40 / 10,Gratuit ! Annulez sans frais jusqu'à 48 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,7h30,Français,Miami
Go City Miami All-Inclusive Pass,8,98.8,1 636 ,7.20 / 10,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,1 jour - 5 jours,-1,Miami
Excursion sur l'île Key West,258,60.8,134 ,8.50 / 10,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,-1,Anglais et espagnol,Miami
Flyboard à Miami,-1,50.3,41 ,-1,Non remboursable. Cette activité n'admet pas d'annulation.,20 minutes,Anglais,Miami
Offre : Visite de Miami + Everglades,9,47.5,2 528 ,8.20 / 10,Gratuit ! Annulez sans frais jusqu'à 48 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,8 heures,Français,Miami
Balade privée en aéroglisseur dans les Everglades,3,9,6 ,-1,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,3 heures,-1,Miami
Offre : Visite dans Miami + Balade en bateau,2,249.8,80 ,-1,Gratuit ! Annulez sans frais jusqu'à 48 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,7h30,Français,Miami
Excursion aux Universal Orlando Resort,13,103.5,65 ,7.70 / 10,Gratuit ! Annulez sans frais jusqu'à 3 jours avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,-1,-1,Miami
Vol en hélicoptère au-dessus de Miami,5,287.4,23 ,9.60 / 10,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,25 min - 30 min,Anglais,Miami
Visite guidée dans Little Havana,1,65.5,159 ,-1,Non remboursable. Cette activité n'admet pas d'annulation.,3h30,Français,Miami
Bus touristique de Miami,62,129.2,179 ,7.40 / 10,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,1 jour,Français,Miami
Balade en bateau à travers les Villas des Stars,365,246,3 ,8.50 / 10,Non remboursable. Cette activité n'admet pas d'annulation.,1h30,Anglais,Miami
Balade en bateau à moteur à Miami,41,45,1 019 ,8.50 / 10,Gratuit ! Annulez sans frais jusqu'à 8 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,45 minutes,Anglais,Miami
Carte eSIM avec Internet aux États-Unis,14,41.9,6 866 ,6.70 / 10,Non remboursable. Cette activité n'admet aucune annulation ou modification.,10 jours - 30 jours,-1,Miami
Offre : Contrastes de Miami + Everglades + Balade en bateau,97,28.5,688 ,9.40 / 10,Gratuit ! Annulez sans frais jusqu'à 36 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,8 heures,Anglais et espagnol,Miami
Excursion aux Everglades,322,38,,7.90 / 10,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,4 heures,Anglais et espagnol,Miami
Balade en aéroglisseur dans les Everglades,28,21.3,2 928 ,7.70 / 10,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,2h30,-1,Miami
Offre : Everglades + Balade en bateau,143,116.8,4 395 ,8.40 / 10,Gratuit ! Annulez sans frais jusqu'à 48 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,7h30,Français,Miami
